Ticker;Swap Short (Sell);Swap Long (Buy);Comments;Swap Currency;Period Type;Period Unit;
BTC/USD;-0.069;-0.069;;BTC;Day;0;
LTC/USD;-0.069;-0.069;;LTC;Day;0;
XRP/USD;-6.9;-6.9;;XRP;Day;0;
BCH/USD;-0.069;-0.069;;BCH;Day;0;
ETH/USD;-0.069;-0.069;;ETH;Day;0;
DSH/USD;-0.069;-0.069;;DSH;Day;0;
XMR/USD;-69;-69;;XMR;Day;0;
ZEC/USD;-69;-69;;ZEC;Day;0;
EOS/USD;-0.69;-0.69;;EOS;Day;0;
ETC/USD;-6.9;-6.9;;ETC;Day;0;
NEO/USD;-6.9;-6.9;;NEO;Day;0;
OMG/USD;-6.9;-6.9;;OMG;Day;0;
ACI/USD;-0.069;-0.069;;ACI;Day;0;
BTC/EUR.raw;-0.069;-0.069;;BTC;Day;0;
ETH/EUR.raw;-0.069;-0.069;;ETH;Day;0;
GRAM/USD;-27.3973;0;;USD;Day;0;
DASH/EUR.raw;-0.069;-0.069;;DSH;Day;0;
EOS/EUR.raw;-6.9;-6.9;;EOS;Day;0;
ETC/EUR.raw;-6.9;-6.9;;ETC;Day;0;
LTC/EUR.raw;-0.069;-0.069;;LTC;Day;0;
NEO/EUR.raw;-0.069;-0.069;;NEO;Day;0;
OMG/EUR.raw;-6.9;-6.9;;OMG;Day;0;
XMR/EUR.raw;-0.069;-0.069;;XMR;Day;0;
XRP/EUR.raw;-69;-69;;XRP;Day;0;
ZEC/EUR.raw;-0.069;-0.069;;ZEC;Day;0;
